browser_id,AE,China,France,Germany,India,Israel,Japan,Scandinavia,USA
AE.AE,73.1,75.1,333.0,1642.9,164.2,11.7,2344.4,117.2,3010.0
AE.INT,73.9,117.5,371.0,1703.3,133.3,14.1,3050.1,140.3,3716.6
CN.CN,44.3,225.6,179.5,561.3,75.6,1.6,1120.7,74.0,1290.5
CN.INT,75.0,98.8,404.6,1828.0,139.0,14.5,3311.5,158.9,3971.2
DE.DE,89.2,72.7,186.2,199.4,73.9,12.2,724.3,235.1,790.8
DE.INT,67.9,118.4,313.5,469.3,78.5,13.8,1687.3,132.5,1534.9
FR.FR,55.6,58.8,216.4,210.8,57.6,8.5,814.4,113.6,779.9
FR.INT,73.4,118.6,321.3,427.1,81.4,13.6,1646.6,151.5,1501.8
IN.IN,61.8,48.1,289.1,1550.1,147.4,6.8,2108.2,90.7,2771.5
IN.INT,69.8,122.4,348.4,1343.8,116.4,14.2,2873.0,139.4,3162.0
IS.INT,62.0,127.4,381.5,1467.5,114.9,5.2,2953.2,154.7,3454.8
IS.IS,167.0,72.1,464.8,1026.3,174.7,34.3,2131.8,100.3,2328.1
JP.INT,70.7,113.8,343.8,1323.7,111.5,15.1,2495.9,152.4,3072.1
JP.JP,72.9,155.8,446.2,1521.7,176.1,6.5,4017.3,75.5,3292.7
NO.INT,71.9,97.8,317.0,421.8,77.6,13.1,1618.7,134.0,1529.1
NO.NO,60.2,51.6,223.1,233.1,76.3,16.9,901.7,159.5,777.1
US.INT,78.9,130.5,444.2,2255.9,126.8,15.2,3722.2,146.3,4881.8
US.US,133.7,87.7,542.8,2740.7,156.0,13.8,4509.5,228.7,6063.6
