browser_id,China,France,Germany,India,Israel,Japan,Scandinavia,USA,VAE
AE.AE,0.6,2.9,7.9,1.3,0.1,16.1,1.1,17.0,0.7
AE.INT,1.1,2.3,5.6,0.8,0.1,13.8,1.2,13.6,0.6
CN.CN,3.1,1.8,3.3,0.8,0.0,10.1,0.7,8.9,0.5
CN.INT,0.8,2.5,6.3,0.8,0.1,14.7,1.2,14.8,0.6
DE.DE,0.9,2.0,1.9,0.8,0.1,7.9,2.9,7.2,1.2
DE.INT,1.2,2.7,2.9,0.7,0.1,13.3,1.2,10.2,0.6
FR.FR,0.8,2.4,2.0,0.6,0.1,9.5,1.3,7.4,0.6
FR.INT,1.2,2.7,2.7,0.8,0.1,13.0,1.4,10.1,0.7
IN.IN,0.6,2.5,9.4,1.3,0.1,16.0,0.9,17.8,0.5
IN.INT,1.1,2.3,5.2,0.8,0.1,14.3,1.2,13.0,0.6
IS.INT,1.1,2.5,5.5,0.8,0.0,14.5,1.3,14.1,0.6
IS.IS,0.6,3.9,5.5,1.4,0.3,15.8,0.8,13.9,1.3
JP.INT,1.0,2.4,5.3,0.8,0.1,13.4,1.3,13.5,0.6
JP.JP,1.6,3.0,7.4,1.3,0.0,24.8,0.6,16.1,0.6
NO.INT,1.1,2.7,2.7,0.7,0.1,13.0,1.3,10.5,0.7
NO.NO,0.6,2.6,2.0,0.8,0.2,10.6,1.8,6.8,0.7
US.INT,1.2,2.6,6.8,0.7,0.1,15.4,1.2,15.8,0.6
US.US,0.7,3.2,7.7,0.8,0.1,18.2,1.3,17.6,1.1
