browser_id,AE,China,France,Germany,India,Israel,Japan,Scandinavia
AE.AE,17.0,18.0,18.0,17.0,18.0,17.0,27.0,27.0
AE.INT,15.0,16.0,16.0,15.0,15.0,15.0,23.0,23.0
CN.CN,9.0,12.0,10.0,9.0,9.0,9.0,16.0,16.0
CN.INT,16.0,17.0,17.0,16.0,16.0,16.0,25.0,25.0
DE.DE,8.0,8.0,8.0,7.0,8.0,7.0,13.0,13.0
DE.INT,10.0,11.0,12.0,10.0,11.0,10.0,19.0,19.0
FR.FR,7.0,8.0,9.0,7.0,8.0,7.0,15.0,15.0
FR.INT,10.0,11.0,11.0,10.0,11.0,10.0,19.0,19.0
IN.IN,18.0,18.0,19.0,18.0,19.0,18.0,28.0,28.0
IN.INT,14.0,15.0,15.0,14.0,14.0,14.0,23.0,23.0
IS.INT,15.0,16.0,16.0,15.0,15.0,15.0,24.0,24.0
IS.IS,14.0,14.0,16.0,14.0,15.0,14.0,24.0,24.0
JP.INT,14.0,15.0,15.0,14.0,14.0,14.0,22.0,22.0
JP.JP,16.0,18.0,18.0,16.0,17.0,16.0,32.0,32.0
NO.INT,11.0,11.0,12.0,11.0,11.0,11.0,19.0,19.0
NO.NO,7.0,7.0,8.0,7.0,7.0,7.0,15.0,15.0
US.INT,16.0,17.0,17.0,16.0,16.0,16.0,25.0,25.0
US.US,18.0,18.0,19.0,18.0,18.0,18.0,28.0,28.0
