browser_id,AE,China,France,Germany,India,Israel,Japan,Scandinavia
AE.AE,1.0,18.0,3.0,18.0,18.0,18.0,20.0,20.0
AE.INT,1.0,16.0,2.0,15.0,16.0,15.0,18.0,18.0
CN.CN,0.0,12.0,2.0,9.0,10.0,9.0,12.0,12.0
CN.INT,1.0,17.0,3.0,17.0,17.0,16.0,19.0,19.0
DE.DE,1.0,8.0,2.0,8.0,8.0,8.0,10.0,10.0
DE.INT,1.0,12.0,3.0,11.0,11.0,11.0,16.0,16.0
FR.FR,1.0,9.0,2.0,8.0,8.0,8.0,12.0,12.0
FR.INT,1.0,12.0,3.0,11.0,11.0,11.0,16.0,16.0
IN.IN,1.0,19.0,2.0,19.0,20.0,19.0,21.0,21.0
IN.INT,1.0,15.0,2.0,14.0,15.0,14.0,18.0,18.0
IS.INT,1.0,16.0,3.0,15.0,15.0,15.0,18.0,18.0
IS.IS,1.0,15.0,4.0,14.0,15.0,15.0,18.0,18.0
JP.INT,1.0,15.0,2.0,15.0,15.0,15.0,17.0,17.0
JP.JP,1.0,18.0,3.0,17.0,17.0,17.0,28.0,28.0
NO.INT,1.0,12.0,3.0,11.0,11.0,11.0,16.0,16.0
NO.NO,1.0,8.0,3.0,7.0,8.0,7.0,12.0,12.0
US.INT,1.0,17.0,3.0,17.0,17.0,16.0,19.0,19.0
US.US,1.0,19.0,3.0,18.0,19.0,18.0,21.0,21.0
