browser_id,visited_sites,visited_subpage,unkown,necessary,functionality,performance,advertising,blocked_by_VAE,blocked_by_China,blocked_by_Germany,blocked_by_France,blocked_by_Israel,blocked_by_India,blocked_by_Japan,blocked_by_Scandinavia,blocked_by_USA
openwpm_native_ae,9009,96877,3758577,314762,166367,854944,1231417,70792,72712,1591599,322609,11365,159048,2271223,113518,2916015
openwpm_native_ae_2,7862,94070,3504266,284870,163365,717760,1169901,69509,110495,1602255,348995,13275,125439,2869242,131951,3496173
openwpm_native_cn,9163,95698,2184326,175071,72795,398088,555357,42385,215896,537197,171787,1569,72363,1072443,70803,1235006
openwpm_native_cn_2,7898,95106,3572406,306500,171400,746143,1102507,71353,93919,1738538,384788,13792,132193,3149406,151129,3776849
openwpm_native_de,9423,123143,1789670,292747,111132,360194,162496,109874,89489,245575,229326,15064,90964,891945,289542,973819
openwpm_native_de_2,7940,92831,1984507,257131,105002,472688,272833,63000,109957,435669,291015,12855,72906,1566296,122997,1424820
openwpm_native_fr,9345,116426,1726714,287401,114736,427350,185151,64728,68443,245379,251974,9846,67085,948217,132306,907988
openwpm_native_fr_2,7937,93913,2023274,279026,116024,481233,275707,68891,111358,401145,301771,12746,76424,1546377,142244,1410360
openwpm_native_il,9177,111529,3521347,264026,146972,1049727,875432,186252,80439,1144677,518415,38262,194891,2377522,111810,2596534
openwpm_native_il_2,7935,93795,3300797,291299,156956,638305,988116,58199,119535,1376454,357826,4851,107768,2769964,145127,3240390
openwpm_native_in,9267,98727,2596974,270506,120949,698332,739039,61046,47447,1530389,285447,6710,145545,2081332,89549,2736181
openwpm_native_in_2,7902,94900,3344793,287209,167151,696363,1000235,66203,116165,1275258,330597,13456,110469,2726502,132277,3000770
openwpm_native_jp,9161,112257,4694217,805957,198707,1067546,1448750,81813,174850,1708237,500945,7273,197656,4509725,84790,3696261
openwpm_native_jp_2,7916,93192,2993598,237785,146113,632548,774804,65844,106032,1233537,320424,14103,103877,2325961,142060,2862989
openwpm_native_no,9173,120479,1849223,318695,122411,497193,198548,72546,62132,280798,268844,20328,91965,1086358,192213,936292
openwpm_native_no_2,7813,90906,1936953,268004,108990,466995,264463,65319,88882,383436,288211,11922,70556,1471478,121786,1390004
openwpm_native_us,9273,109581,7698833,722356,403457,1434344,2843014,146464,96109,3003330,594850,15131,170892,4941606,250583,6644538
openwpm_native_us_2,7949,95063,4013520,255585,173067,689329,1390924,74998,124101,2144501,422233,14452,120503,3538402,139087,4640747
