rule_filterlist_France,blocked_etld
/script.$domain=amateurfrancais.com|sexefelin.com|tootx.com|tubixe.com|twistedporn.com|vidsexe.com|webchoc.com,4770
/sw.js$domain=1337x.biz|1337x.st|1337x.to|1377x.to|2shrink.com|9anime.to|9xbuddy.com|9xbuddy.online|9xbuddy.org|9xbuddy.xyz|adshr.ink|adshrinks.com|almstba.tv|bagas31.info|bestfreecams.club|clicknupload.click|clicknupload.club|clicknupload.co|clicknupload.red|clicksfly.com|clk.sh|cloudvideo.tv|cut1.cf|dailyuploads.net|desiupload.co|desiupload.in|downloadpirate.com|drop.download|dropapk.to|eio.io|file-up.org|filerio.in|freevideos24h.com|gomovies.film|gomovieshub.io|gostreams.net|gsurl.in|gsurl.me|hdvid.tv|indishare.org|islyce.com|islyce.gq|istream2watch.com|keeplinks.org|ling-online.net|ling.online|mealip.com|megaurl.in|mevio.me|multiup.eu|multiup.io|multiup.org|offmp3.com|okanime.tv|oko.sh|ovid.online|ovid.tv|patchsoftwares.com|putlocker.ninja|sadeempc.com|sendspace.com|sexu.com|short.pe|sss.xxx|stream2watch.org|tntendirect.com|uii.io|up-load.io|upload.ac|upload4earn.org|uploadproper.net|uploadrar.com|voir-films.com|vosbooks.tv|x1337x.eu|x1337x.se|x1337x.ws|zippyshare.com,1668
/test.$domain=amateurfrancais.com|sexefelin.com|tootx.com|tubixe.com|twistedporn.com|vidsexe.com|webchoc.com,230
/delivery/*&zoneid= <+> /ad.*/delivery? <+> /delivery.*?dfp= <+> /delivery?*&ad=,191
/disclaimer.$domain=blog2mature.com|hentai-tube.fr|leathumb.com|papy-porno.com|porc.com|pornasiatix.com|pornxmovies.com|pornz.fr|secret-amateur.com|sexe2blog.com|sexotor.com|tube2sexe.com|videosallopass.com,174
_300x600& <+> /300x600/* <+> /300x600. <+> -banniere-300x600- <+> =300x600&,159
/get/*?zoneid=,135
"://partner.$third-party,domain=~lopinion.fr|~viator.com|~viatorcom.de|~viatorcom.fr|~viatorcom.nl|~viatorcom.no|~viatorcom.se",112
/pab-ssl.js,99
/wp-content/plugins/quick-adsense-reloaded/*,86
/license.$domain=amateurfrancais.com|sexefelin.com|tootx.com|tubixe.com|twistedporn.com|vidsexe.com|webchoc.com,71
300x250.gif| <+> digitalocean.gif|,61
-336x280. <+> =336x280& <+> _336x280.,51
=970x90& <+> =970x90_ <+> /970x90.,49
-970x250. <+> _970x250. <+> -970x250_,48
_ads_banner/ <+> /banner_pub. <+> /ads_banner/* <+> /banner/top? <+> /banner-ads <+> /banner_728x90 <+> /banner_ads? <+> .ad/banner/ <+> _ads/banner/ <+> /banner/ads- <+> /banner/160 <+> _ads_banner& <+> _banner_pub. <+> /banner_300x250 <+> /banner/728 <+> /banner/ads.js <+> .ads/banner/ <+> _ads_banner_,48
/ads/?subid=,45
/300x300.gif <+> _300x300.gif <+> /pub-300x300/* <+> -300x300.gif,44
/delivery/ajs.,44
/ads.*/www/* <+> ://fr.*/ads? <+> /pub/*/ads.,44
/Web_Ad_ <+> /Web_banner_ <+> /Web_Ad. <+> /web/bannieres/*,43
/pub-ads/* <+> /ads-1- <+> /ads-2- <+> /ads_block <+> -ads/ads. <+> /ads/728x <+> ://fr.ads. <+> -ads/920x <+> /b/ads/* <+> /ads/v. <+> /ads-banner <+> /ads/160x <+> /a.ads. <+> /fr-ads. <+> -ads-920x <+> /ads/300x <+> .fr/ads_ <+> .fr/ads/ <+> /ads/970x <+> .fr/ads- <+> /ads/4. <+> _fr/ads/ <+> /ads.xml <+> /ads-3- <+> /ads/468x <+> -pub-ads/ <+> /ads-4- <+> /ads?p=,41
/thirstyaffiliates/*,37
?clicktag=,35
_300x250@ <+> /pub-300x250. <+> /ad_300x250. <+> _300x250/ <+> /ad(300x250)/* <+> -300x250_pub. <+> -ads-300x250. <+> _ban-300x250. <+> -banner-300x250. <+> -pub-300x250.,29
-adv-2. <+> .com/adv.js <+> -adv-1. <+> /js.adv. <+> .fr/adv? <+> /js/adv_ <+> /adv/www/* <+> .fr/adv. <+> .php?img_adv= <+> _adv.js <+> -adv-3. <+> /banner_adv. <+> /adv.htm <+> /adv/z/? <+> /adv_js. <+> /adv/banners/* <+> .fr/adv_ <+> /adv/ads. <+> /adv_banner. <+> .fr/adv/ <+> /img/adv_ <+> .fr/_adv/ <+> /adv/ad_,29
_publicite_ <+> .publicite. <+> /publicite/* <+> _publicite. <+> =publicite& <+> /publicite. <+> /publicite_,28
://creative.*/widgets/*&campaignId=*&creativeId=$third-party,27
/ad-inserter/* <+> /ad-inserter-pro/*,27
/images/*_ads/ <+> /anuncy/*/ads/ <+> /static/*/ads/ <+> /afiliasi/*/banners/,25
/ads/250x250- <+> =250x250& <+> /ads/250x250. <+> -250x250.gif,24
://xml.*/redirect?,24
.ads.*?zone= <+> /zone?pub=*&zone_id= <+> /a?*&zone_id=,22
.fr/*/ads/$domain=~lemde.fr|~sellplus.fr|~yoopies.fr,21
://adx. <+> /adv/adx. <+> /adx.js,20
&hasads=,20
/uploads/*/ads. <+> /uploads/*/ads-,20
/pub_250_ <+> /ads_250_ <+> -300-x-250- <+> /300-x-250- <+> /pub-300-250- <+> _300-x-250_ <+> ?300&250& <+> -300-x-250. <+> /300-x-250. <+> /ads/300/250/* <+> /300&250. <+> /300_250-2.,19
://ad.*/ad/*.gif <+> /ad.*/ads. <+> /ads/*_ad_ <+> /pub/*/ad.,19
/ads.*/banner/* <+> /banner/*/300x250 <+> =banner_*goclick& <+> /Ads*/banner_ <+> ://banner.*utm_ <+> ://banner.*click <+> /banner/*/728x90,18
/images/sponsors/*$third-party,17
-affiliate-banner- <+> /affiliate/banner. <+> /affiliate_ads_ <+> .fr/affiliate/ <+> .php/affiliate/ <+> _affiliate_banner_ <+> /affiliate.js,17
=120x600&,17
/publicity. <+> .net/publicity/ <+> .fr/publicity/,14
/werbebanner-ad. <+> _werbebanner_,14
%*.juicyads.,13
/wp-content/plugins/easy-affiliate-links/*,13
/ad_js/* <+> /ad/js/banner <+> /js_a_d_s. <+> .xyz/js/ads/ <+> /ad.js?_= <+> /js/pub.js <+> ://ads-js.,13
/cdn/affiliates/* <+> .net/affiliates/ <+> /images/affiliates/* <+> /affiliates/media/banners/* <+> /affiliates/images/banners/* <+> .fr/affiliates/ <+> /affiliates/banners/*,12
_ad_images_ <+> /ads-ad- <+> -ad-content- <+> -ad_ads. <+> /ad_fr. <+> /ad/ads. <+> /ad-ads.,12
.ru/s/images/banner/$third-party <+> .ru/i/banners/$third-party <+> .ru/s/images/banners/$third-party <+> .ru/banner/$third-party <+> .ru/i/banner/$third-party <+> .ru/banners/$third-party,11
/publicite-$domain=~publicite-decor.fr|~publicite-lepeut-dole.fr,11
.adv?*_id= <+> ://promo.*?site_id= <+> /banner/*&site_id= <+> /banner/*?site_id=,11
