rule_filterlist_Indian,blocked_etld
/banner/*$domain=arthparkash.com|firlive.com|jogsanjogtimes.com|kanvkanv.com|keralafinance.com|khabor.com|laksam.com|nbs24.org|tamil.com|thereport24.com,3113
/ADD-$domain=bslnews24.com|tejastoday.com,3063
/banners/*$domain=bajroshakti.com|digiana.com|karobardaily.com|tamil.srilankamirror.com|tcvonline.co.in|thaiveedu.com,1680
-add-$domain=himaliawaj.com|navakal.in|pragativahini.com|sankalpanews.com|suprovatsatkhira.com,1592
-Banner.jpg|$domain=ottrancheithi.com|shamolbangla24.com,1273
/ads/*$domain=bdrtnn.net|dainikdristipat.com|dharitri.com|jugantor.com,896
-banner.png|$domain=khabarpurwanchal.com|uniquepratidin.com,816
_n.jpg|$domain=barishalcrimenews.com|hmnews24.com,707
-Ads-$domain=bdtoday24.com|dailyceylon.com|gopalganj.org|meelparvai.net,587
/ads-$domain=gmnewsbd.com|prothom-feni.com,271
/Advertisement/*$domain=aparajeobangla.com|banglarchokh.com.bd|ekushey-tv.com|nepalipaisa.com|odiaspotnews.in|shankhnaad.in|womeneye24.com,94
-1024x1024.jpeg|$domain=muzaffarpurnow.in|muznow.in,62
-ad.png|$domain=dailyghagot.com|onenewsbd.com|snpsports24.com,60
_ad.jpg|$domain=sharetimes24.com|thebarta24.com|yugjagran.com,55
-ad.jpg|$domain=cinemapluz.com|didnews.in|dirt-sheet.com|indiaaajkal.in|kannurmetroonline.com|rashtrachandika.com|saghata-news.com|sharetimes24.com|thebarta24.com|thebdexpress.com|timesbd24.com|unitednewskannada.com,52
-add.png|$domain=kalaroanews.com|osnepal.com|sangbadsarabela.com,49
/advertisements/*$domain=abhiyandaily.com|banglakatha.com.au|dailydhakareport.com|indiasamachar24.com|janachasotimes.com|kashilive.com|keralaonlive.com|lalmonibarta.com|nepalipatra.com|nepalkhabar.com,28
/Advt_ <+> -advt- <+> -advt_ <+> /advt-,22
/can//cde/*$domain=aajbikel.com|aapninews.in|atalsamachar.com|blivenews.com|chandaulisamachar.com|cityandolan.com|cricketkhabara.com|dalhousiehulchul.com|devpath.in|doonhorizon.in|fashionnewsera.com|heraldspot.com|hrbreakingnews.com|jansandeshonline.com|k9media.live|keralaonlinenews.com|keralavoter.com|livevns.news|loginkerala.com|metrojournalonline.com|mirrortoday.in|news38times.com|newshaat.com|newspoint24.com|newzfast.com|odiagossip.com|odiascraps.info|rajasthankhabre.com|realitynews.in|rewanewsmedia.com|rochakkhabare.com|saharasamachar.com|samayduniya.com|thechopal.com|thedesiawaaz.com|theexpose.in|thehindutimes.in|theonlinepost.in|toptamilnews.com|ttncinema.com|upuklive.com|utkalpratidin.com|uttarakhandpost.com|woneminute.com,16
-ads.jpg|$domain=bigulnews.tv|thebiharnews.com,15
-ad.gif|$domain=5dariyanews.com|kanakaionline.com|newsplus.lk|newssanjal.com|onetamilnews.com|safalawaj.com|sharetimes24.com|simpaninews.com|timesofnellore.com,9
/ad-150x600 <+> -ad-mob,8
_add.jpg|$domain=gourbarta24.com|paryabekhyak.com,7
/add.jpg|$domain=gourbarta24.com|muznews.online|sheershakhobor.com,6
-add.jpg|$domain=bangladeshkantha.com|bishwanathbd24.com|eaajkaal.in|matrubhasa.com|panchkulasamachar.com|patheo24.com|pragativahini.com|suprovatsatkhira.com|teluguwishesh.com,6
/adv-1,4
/advs_,3
blocks/block_$domain=hindustansamay.com|hindustanvarta.com|livenewsxpress.com|nattuvartha.news|poorvanchalmedia.com|sirajganjexpress.com,3
/bigyaapan/*$domain=baahrakhari.com|godawarinews.com|khelpati.com|lumbinitimes.com|nayadainiki.com|nepalipublic.com|nepalsamaya.com|newsgriha.com|ninglashainionline.com|setopati.com|swasthyakhabar.com,2
-add.gif|$domain=amarsylhet24.com|chandpurreport.com|somoysongbad.com|wenepali.com,2
||nativclick.com^$third-party,1
"||blogspot.com^$third-party,domain=amarsylhet24.com|manabadi.co.in",1
"||giphy.com^$third-party,domain=shreekanchanpath.com|sunamganj24.com",1
||api.lhkmedia.in/smart-ads/,1
||royalbulletin.in/wp-content/uploads/2024/03/add_gd_gonka-e1710592728938.jpeg,1
"||wp.com^$third-party,domain=crimeexpressbd.com|radionrn.com",1
||akilanews.com/assets/advertise/,1
||rtvonline.com/templates/web-view/images/bangal29-3-23.png,1
||admana.net$third-party,1
||dailynayadiganta.com/ads/,1
||youtube.com/embed/GHomo-YgJNc,1
||ekantipur.com/uploads/source/ads/,1
||gonokantho.com/ad/,1
||rtvonline.com/templates/web-view/images/rtv_drama.gif,1
/bigyapan/*$domain=himalkhabar.com|khelpati.com|merolagani.com,1
||morbiupdate.com/wp-content/uploads/2023/06/27-06-2023-1.gif,1
||banglanews24.com/public/uploads/ad/,1
||news4nation.com/Media/parcha/,1
||keralaonlinenews.com/static/c1e/static/themes/11/94744/4170/images/family-wedding-kannur.jpg,1
||hentaibaka.one^$third-party,1
||aj2031.online^$third-party,1
||maagulf.com^*_ad.jpg|,1
||zendplace.pro^$third-party,1
||cdn.ibcstack.com/blurb/$domain=cineulagam.com|ibctamil.com|tamilwin.com,1
"||imgur.com^$third-party,domain=aajakosandesh.com|alltophere.com|braveindianews.com|cnchautari.com|dailynpnews.com|esudurkhabar.com|khabarpatrikanp.com|mawanellanews.com|nayapusta.com|nepalinsider.com|nepalipatra.com|wowsansar.com",1
||teluguone.com/advertises/images/online-jyotish.jpg,1
