rule_filterlist_Japanese,blocked_etld
_analytics.js? <+> /analytics? <+> /analytics.js,1556
||analytics.$third-party,649
^zoneid=,519
.com/ads/$third-party <+> .net/ads/$third-party <+> ://ads.$third-party <+> .jp/ads/$third-party,466
://ad.$third-party <+> .net/ad/$third-party <+> .com/ad/$third-party <+> .jp/ad/$third-party <+> .jp/ad_$third-party,407
/co_tag.php? <+> /google_tag/*,311
/gtag/js?,303
/piwik.js <+> /piwik.php,282
/tracker.js,245
/advanced-ads/*$domain=~wordpress.org,159
/track.php? <+> /track.js,154
/cdn-cgi/zaraz/*,145
"/advertising.$~script,~xmlhttprequest",139
/php-stats.js.php <+> /stats.php,136
/googleanalytics.js,123
/access? <+> /access.cgi <+> /access.php,121
/images/ads/* <+> /ad/images/* <+> /images/ad/*,118
/advertise. <+> /advertise/*,111
/advertisement_$~script <+> /advertisement.$~script <+> /advertisement-$~script,103
/img/ad_ <+> /img/ads/* <+> /img/ad- <+> /ad/img/* <+> /img/ad/*,101
/advertisement/*,88
/300x250.,87
/adrotate- <+> /adrotate/*,73
/adserver/*,65
_300_250. <+> _300_250_,64
/settings/ad.js,63
/ad-invalid-,57
^zone_id=,54
/ads.cgi <+> /ads? <+> _ads.js.,52
/aas/r45d/vki/*,48
/popunder.,43
/c.gif?,42
/beacon.cgi? <+> /beacon.gif? <+> /beacon.min.js <+> /beacon.js,42
/log.gif? <+> /log.php? <+> /log.cgi?,41
/adservice.$domain=~adservice.io|~github.com|~githubusercontent.com,40
"/googleads.$~script,domain=~github.com|~github.io",37
?adid=,37
/1x1.gif?,33
/event-tracking.js?,33
/s/su.php?t=,32
/ad2.,30
/ad1.,29
/assets/analytics- <+> /assets/ads/*,29
||adserver.$third-party,28
/imp.gif?,28
||affiliate.$third-party,28
||creative.*/widgets/v4/Universal?,28
/ad-inserter/* <+> /ad-inserter-,27
/omniture_ <+> /omniture/*,26
"/adframe.$~script,~xmlhttprequest",26
||affiliates.$third-party,25
/VisitorAPI.js,25
/ad-provider.,23
-ads.com^$third-party,23
/468x60.,22
/xtcore.js,22
/s/s/supv.php,22
/google-analyticator/*,21
/oo/*/lsync.js,21
/autotrack.custom.js <+> /autotrack.js,21
||creative.*/widgets/spot/,20
/ads2.,20
/bestsellers_,19
/ad.min.js,19
/amazonjs. <+> /amazonjs/*,18
?affid=,18
-ad.com^$third-party <+> -ad.net^$third-party,18
/adsense.$~script,17
/ga_social_tracking.js,17
/dcs.gif?,16
/tracking.*&ref=,16
/image/ad/*,16
/getlog? <+> /getlog.,15
/spc.php? <+> /spc.gif?,15
/acclog.,15
/ad3.,14
.net/ufo/$third-party <+> .jp/ufo/$third-party <+> .org/ufo/$third-party <+> .com/ufo/$third-party,13
/bultykh/ipp24/7/*,13
/aurora-heatmap- <+> /aurora-heatmap/*,13
/amazon.js,13
/a/pop/js/*,13
/urchin.js,12
/wtid.js,12
/s/s/js/m/im.js?,12
/pn07uscr/f/tr/zavbn/*,11
/ad4.,11
/jquery.meerkat.,10
/koukoku/*,10
/accesslog/* <+> /accessLog.,9
/ad.php?,9
/analyze.js$domain=~passport.alibaba.com,9
/s/js/ssu.v2.js?v= <+> /s/s/js/ssu.v2.,9
/chartbeat.js,9
/oo/*/l.js,9
/analysis.js,8
/oo/cl*.js?rd=,8
.org/ads/$third-party <+> .org/ad/$third-party,7
/analog/*,7
/gaAddons.js <+> /gaAddons- <+> /gaaddons/*,7
/static/ad-,7
/google.analytics.,6
/acctag.js,6
_ad.html|,5
/adframe/*,5
/fingerprintjs2.,5
/a/na/js/*$third-party,4
/adgpt.js,4
/sc4fr/rwff/f9ef/*,4
/s/s/supc.php,4
/foresee/*,4
||assoc-amazon.$third-party,4
/gatrack.,4
/bin/ll?,4
/display-ad/*,4
/xstat/*,4
/adsense_,4
||timeout.*/static/js/ads-,3
.tv/ads/$third-party,3
/clickheat.js,3
/ceef/gdt3g0/tbt/*,3
://ct2.*.com/sc/ <+> ://ct2.*.jp/sc/,3
||advertising.$third-party,3
/_a_ta/s/s/*,3
/amp-analytics-,3
/s/s/sui.php,3
.biz/ads/$third-party <+> .biz/ad/$third-party,3
/adframes.,3
/bcn.gif?,3
://ct1.*.jp/sc/ <+> ://ct1.*.com/sc/,3
||rcm*.amazon.$third-party,3
/adspace/*,2
/adbutler/*,2
/s/s/js/m/custom_advanced.js?,2
/analyzer.js <+> /analyzer.cgi?,2
/adplayer.,2
||pcolle.*/parts/js/parts.js,2
/modal-dist/index.,2
||gamewith.*/ad/index.js?,2
/display-ads-$domain=~google.co.uk|~google.com|~google.com.au,2
/report.cgi?,2
/s/s/js/m/custom.js? <+> /custom-analytics.js,2
||trackword.$third-party,2
/access.aspx?,2
/a/ipn/js/*,2
/yads.,2
||dmm.co*/js/placement.js,2
/mag.js,2
||dmm.co*/js/banner_placement.js?affiliate_id=,2
/__sys__inactive_message.js,2
||hs-scripts.com^,1
||insightexpressai.com^$third-party,1
||astrsk.net^$third-party,1
||aztool.org$third-party,1
||asg.to/advert/banner.html,1
||flux-cdn.com^$third-party,1
||fx.minkabu.jp/javascripts/google/dfp.js,1
||ads-connect.com^$third-party,1
/adtools.js,1
||juicyads.com^$third-party,1
||etoyota.net/include/js/measurementBeacon.js,1
||r-ad.ne.jp^$third-party,1
||appollo.jp^$third-party,1
||stats.wordpress.com^,1
||webtrendslive.com^$third-party,1
||interactive-circle.jp^$third-party,1
||tsumanne.net/sa/src/sa.js,1
||aacdn.jp/app/aa-front/js/pc/aa/ad_$domain=allabout.co.jp,1
||photozou.jp/script/ad_sticky.js?,1
||overture.com^$third-party,1
||dc-tag.jp^$third-party,1
||vipsister23.com/randamad,1
||sc-static.net^$third-party,1
||dxlive.com^$third-party,1
||google-analytics.com^*/collect?,1
||b90.yahoo.co.jp^,1
/adshow?,1
||joysound.com/web/src/s/ad/,1
||advack.net^$third-party,1
||team-rec.jp^$third-party,1
||media.fc2.com^,1
||game8.jp/assets/pc/jack_ad/,1
||omtrdc.net^$third-party,1
||l.sharethis.com^,1
||qualaroo.com^$third-party,1
||mgstage.com/afscript/,1
||mona-news.com/ad-*.js,1
||asumi.shinobi.jp^,1
||histats.com^$third-party,1
||jscount.com^$third-party,1
||gmodmp.jp^$third-party,1
||adform.net^$third-party,1
||vip.chps-api.fc2.com/apis/footer/,1
||google.co.jp/pagead/,1
||adjust-net.jp^$third-party,1
||omt.shinobi.jp^,1
||seg.sharethis.com^,1
/writelog.php?,1
||neofield.click^$third-party,1
||glssp.net^$third-party,1
||bing.com/fd/ls/l?IG=,1
||gnavi.co.jp/analysis/,1
||luvul.net/ad/,1
