rule_filterlist_Scandinavia,blocked_etld
/banners^$domain=musikknyheter.no|bilasolur.is|fotbolti.is,1840
/wp-content/uploads/*.gif^$domain=hnytt.no|karfan.is,1602
/Ad/*$domain=hallbyhandboll.se|skiljebosk.nu,1404
/plugins/duracelltomi-google-tag-manager,648
/plugins/google-analytics,522
.js?cb$domain=lchfarkivet.se|hemmanytt.se,277
/plugins/popup$domain=ordfrontmagasin.se|snowmobile.se|sverige.nu|it-kanalen.se|forvaltarforum.se|forskning.se|it-finans.se|it-halsa.se|it-kanalen.se|it-pedagogen.se|it-retail.se|magasinetkonkret.se|jobsinsweden.se,217
/api/log$domain=bohuslaningen.se|stromstadstidning.se|markposten.se|harrydaposten.se|partilletidning.se|sttidningen.se|molndalsposten.se|kungalvsposten.se|kungsbackaposten.se|alingsastidning.se|ttela.se|gp.se|hallandsposten.se|hn.se,212
-tracking.js$domain=aftonbladet.se|godare.se|livsstil.se|svd.se,200
/plugins/angwp <+> /plugins/ungrabber <+> /plugins/thirstyaffiliates <+> /plugins/wp-adsense <+> /plugins/adsanity <+> /plugins/adlounge <+> /plugins/wp-statistics <+> /plugins/wp-analytify <+> /plugins/icegram <+> /plugins/adsense%20click%20proctect <+> /plugins/wplinktrade,177
/pum/*$domain=flm.nu|finanstid.se|dagenslogistik.se|battrestadsdel.se,153
://gtm.*/g/collect?,153
/themes/*/js/smoothscroll,137
/track.js$domain=destination.se|sistaminuten.se,124
/googleanalytics.js$domain=fria.nu|stockholmsfria.se,123
.js?gcb$domain=lchfarkivet.se|hemmanytt.se,119
/statistics/statistics.php <+> /statistics/statistics.js,109
/plugins/quick-adsense,87
/videojs.ima.$domain=sportbladetplay.se|staylive.tv,80
/pages/tag$domain=aktuellhallbarhet.se|byggindustrin.se|dagensmedia.se|dagensmedicin.se|fastighetsnytt.se|resume.se|dagenssamhalle.se|market.se|dagligvarunytt.se|privataaffarer.se,73
/plugins/woocommerce-google-adwords,73
/wp-content/uploads/*casino$domain=xn--bodposten-n8a.no|ranaposten.no|viralefilmer.no,72
/_vercel/insights/*,70
://gtm.*.js?id=GTM,67
/wp-json/wpstatistics <+> /wp-json/wp-statistics,62
