rule_filterlist_USA,blocked_etld
_300x250- <+> /300x250- <+> /300x250_ <+> .300x250. <+> _300x250. <+> -300x250_ <+> _300x250_ <+> =300x250/ <+> .300x250_,361
.728x90_ <+> /728x90_ <+> /728x90/* <+> -728x90_ <+> /728x90. <+> /728x90- <+> -728x90. <+> _728x90_ <+> .728x90/ <+> _728x90. <+> _728x90/ <+> =728x90/ <+> .728x90- <+> _728x90- <+> -728x90- <+> -728x90/,315
"://ads.$~image,domain=~ads.8designers.com|~ads.ac.uk|~ads.adstream.com.ro|~ads.allegro.pl|~ads.am|~ads.amazon|~ads.apple.com|~ads.atmosphere.copernicus.eu|~ads.band|~ads.bestprints.biz|~ads.bikepump.com|~ads.brave.com|~ads.buscaempresas.co|~ads.business.bell.ca|~ads.cafebazaar.ir|~ads.colombiaonline.com|~ads.comeon.com|~ads.cvut.cz|~ads.doordash.com|~ads.dosocial.ge|~ads.dosocial.me|~ads.elevateplatform.co.uk|~ads.finance|~ads.google.cn|~ads.google.com|~ads.gree.net|~ads.gurkerl.at|~ads.harvard.edu|~ads.instacart.com|~ads.jiosaavn.com|~ads.kaipoke.biz|~ads.kazakh-zerno.net|~ads.kifli.hu|~ads.knuspr.de|~ads.listonic.com|~ads.magalu.com|~ads.mercadolivre.com.br|~ads.mgid.com|~ads.microsoft.com|~ads.midwayusa.com|~ads.mobilebet.com|~ads.mojagazetka.com|~ads.msstate.edu|~ads.mst.dk|~ads.mt|~ads.nc|~ads.nipr.ac.jp|~ads.olx.pl|~ads.pinterest.com|~ads.red|~ads.rohlik.cz|~ads.route.cc|~ads.safi-gmbh.ch|~ads.scotiabank.com|~ads.selfip.com|~ads.shopee.cn|~ads.shopee.co.th|~ads.shopee.com.br|~ads.shopee.com.mx|~ads.shopee.com.my|~ads.shopee.kr|~ads.shopee.ph|~ads.shopee.pl|~ads.shopee.sg|~ads.shopee.tw|~ads.shopee.vn|~ads.smartnews.com|~ads.snapchat.com|~ads.socialtheater.com|~ads.spotify.com|~ads.studyplus.co.jp|~ads.taboola.com|~ads.tiktok.com|~ads.twitter.com|~ads.typepad.jp|~ads.us.tiktok.com|~ads.viksaffiliates.com|~ads.vk.com|~ads.watson.ch|~badassembly.com|~caravansforsale.co.uk|~fusac.fr|~memo2.nl|~reempresa.org|~satmetrix.com|~seriouswheels.com",272
/prebid.$domain=~prebid.org,266
/page-links-to/dist/new-tab.js,234
/delivery.ads. <+> /ads/delivery. <+> /delivery_ads/* <+> /www/delivery/*,166
/advanced-ads-$domain=~wordpress.org,162
/plugins/advanced-ads/*$domain=~wordpress.org,157
/greenoaks.gif?,138
".com/ad/$~image,third-party,domain=~mediaplex.com|~warpwire.com|~wsj.com",123
-300x600. <+> _300x600. <+> /300x600- <+> /300x600_ <+> _300x600_ <+> -ad-300x600-,115
/detroitchicago/raleigh.js,95
/detroitchicago/boise.js,95
/porpoiseant/*,94
