rule,identified_tr
||doubleclick.net^,4477484
||doubleclick.net^$third-party,2931536
||g.doubleclick.net^$domain=autobild.de|gofeminin.de|imasdk.googleapis.com,2834057
||pagead2.googlesyndication.com^,2154990
||pagead2.googlesyndication.com^$domain=autobild.de|gofeminin.de,2154990
||google-analytics.com^*/collect?,1510485
/googleads.$domain=g.doubleclick.net|googlesyndication.com,1485531
"/googleads.$~script,domain=~github.com|~github.io",1485188
||analytics.$third-party,1072311
/pagead/1p-user-list/*,966514
.net/ads/$third-party,864099
.jp/ads/$third-party,864099
://ads.$third-party,864099
.com/ads/$third-party,864099
/ads/*$domain=bdrtnn.net|dainikdristipat.com|dharitri.com|jugantor.com,833923
||fundingchoicesmessages.google.com$third-party,791619
||criteo.com^$third-party,791277
||taboola.com^$third-party,757255
||taboola.com^$domain=independent.co.uk|outlook.live.com|technobuffalo.com,757254
||google.com/pagead/,749224
||rubiconproject.com^$domain=spiegel.de,652597
||rubiconproject.com^$third-party,652597
||facebook.com/tr/,616377
||amazon-adsystem.com^$domain=spiegel.de,434635
||amazon-adsystem.com^$domain=autobild.de|gofeminin.de,434635
||amazon-adsystem.com^$third-party,434635
/ads/ga-audiences?,387062
/csi?v=,380912
