id;country;link
1;USA;https://easylist.to/easylist/easylist.txt
2;China;https://easylist-downloads.adblockplus.org/easylistchina+easylist.txt
3;Japanese;https://raw.githubusercontent.com/tofukko/filter/master/Adblock_Plus_list.txt
4;Indian;https://easylist-downloads.adblockplus.org/indianlist+easylist.txt
5;Germany;https://easylist-downloads.adblockplus.org/easylistgermany+easylist.txt
6;Scandinavia;https://easylist-downloads.adblockplus.org/dandelion_sprouts_nordic_filters+easylist.txt
8;France;https://easylist-downloads.adblockplus.org/liste_fr.txt
9;Israel;https://easylist-downloads.adblockplus.org/israellist+easylist.txt
10;VAE;https://easylist-downloads.adblockplus.org/Liste_AR.txt
11;RU;https://easylist-downloads.adblockplus.org/ruadlist.txt
12;RO;https://www.zoso.ro/pages/rolist.txt
13;LV;https://raw.githubusercontent.com/Latvian-List/adblock-latvian/master/lists/latvian-list.txt
14;KO;https://easylist-downloads.adblockplus.org/koreanlist.txt
15;ES;https://easylist-downloads.adblockplus.org/easylistspanish.txt
16;PT;https://easylist-downloads.adblockplus.org/easylistportuguese.txt
17;PL;https://easylist-downloads.adblockplus.org/easylistpolish.txt
18;LT;https://raw.githubusercontent.com/EasyList-Lithuania/easylist_lithuania/master/easylistlithuania.txt
19;IT;https://easylist-downloads.adblockplus.org/easylistitaly.txt
20;NL;https://easylist-downloads.adblockplus.org/easylistdutch.txt
21;SK_CZ;https://raw.githubusercontent.com/tomasko126/easylistczechandslovak/master/filters.txt
22;BG;http://stanev.org/abp/adblock_bg.txt


